time,open,high,low,close,tick_volume
2023-01-02 00:00:00,1.07016,1.07027,1.07004,1.07016,2085
2023-01-02 01:00:00,1.07016,1.07063,1.07005,1.07012,2849
2023-01-02 02:00:00,1.07012,1.07099,1.06965,1.07032,1831
2023-01-02 03:00:00,1.07032,1.07128,1.06979,1.07081,2671
2023-01-02 04:00:00,1.07081,1.07111,1.07021,1.07074,694
2023-01-02 05:00:00,1.07074,1.07099,1.07059,1.07066,1341
2023-01-02 06:00:00,1.07066,1.07144,1.07052,1.07117,2898
2023-01-02 07:00:00,1.07117,1.07174,1.07049,1.07142,2366
2023-01-02 08:00:00,1.07142,1.07226,1.07126,1.07126,2291
2023-01-02 09:00:00,1.07126,1.07194,1.0708,1.07144,988
2023-01-02 10:00:00,1.07144,1.07172,1.07094,1.07129,2747
2023-01-02 11:00:00,1.07129,1.07147,1.07108,1.07114,2103
2023-01-02 12:00:00,1.07114,1.07254,1.0706,1.07122,945
2023-01-02 13:00:00,1.07122,1.07137,1.06989,1.0706,579
2023-01-02 14:00:00,1.0706,1.0708,1.07,1.07005,1244
2023-01-02 15:00:00,1.07005,1.07115,1.0696,1.06987,2360
2023-01-02 16:00:00,1.06987,1.07056,1.06908,1.06954,1965
2023-01-02 17:00:00,1.06954,1.07032,1.06917,1.06964,1430
2023-01-02 18:00:00,1.06964,1.07015,1.06926,1.06935,2434
2023-01-02 19:00:00,1.06935,1.06952,1.06832,1.0689,771
2023-01-02 20:00:00,1.0689,1.07008,1.06864,1.06937,1866
2023-01-02 21:00:00,1.06937,1.06976,1.06879,1.0693,2671
2023-01-02 22:00:00,1.0693,1.0694,1.06892,1.06932,2013
2023-01-02 23:00:00,1.06932,1.06947,1.06837,1.06886,1185
2023-01-03 00:00:00,1.06886,1.06916,1.06862,1.06869,2226
2023-01-03 01:00:00,1.06869,1.06879,1.0681,1.06872,1151
2023-01-03 02:00:00,1.06872,1.06876,1.06835,1.06835,796
2023-01-03 03:00:00,1.06835,1.06896,1.06813,1.06847,1642
2023-01-03 04:00:00,1.06847,1.06896,1.06752,1.06828,1120
2023-01-03 05:00:00,1.06828,1.06853,1.06791,1.06819,2154
2023-01-03 06:00:00,1.06819,1.06837,1.06761,1.068,2154
2023-01-03 07:00:00,1.068,1.06896,1.06794,1.06859,2898
2023-01-03 08:00:00,1.06859,1.06864,1.06841,1.06858,2172
2023-01-03 09:00:00,1.06858,1.06913,1.06783,1.06825,754
2023-01-03 10:00:00,1.06825,1.06871,1.06817,1.06851,1787
2023-01-03 11:00:00,1.06851,1.06855,1.06809,1.06812,528
2023-01-03 12:00:00,1.06812,1.06864,1.06788,1.06818,1558
2023-01-03 13:00:00,1.06818,1.06828,1.0665,1.06756,1248
2023-01-03 14:00:00,1.06756,1.06816,1.06669,1.06713,1817
2023-01-03 15:00:00,1.06713,1.06722,1.06709,1.06719,1101
2023-01-03 16:00:00,1.06719,1.06749,1.06719,1.06743,1591
2023-01-03 17:00:00,1.06743,1.06758,1.06717,1.06749,630
2023-01-03 18:00:00,1.06749,1.06795,1.06697,1.06745,610
2023-01-03 19:00:00,1.06745,1.06796,1.06708,1.06735,1330
2023-01-03 20:00:00,1.06735,1.06765,1.06649,1.06688,1165
2023-01-03 21:00:00,1.06688,1.06719,1.06632,1.06665,1566
2023-01-03 22:00:00,1.06665,1.06717,1.06597,1.0665,1374
2023-01-03 23:00:00,1.0665,1.06719,1.06583,1.06684,1817
2023-01-04 00:00:00,1.06684,1.06767,1.06646,1.06695,784
2023-01-04 01:00:00,1.06695,1.06711,1.06637,1.06639,1063
2023-01-04 02:00:00,1.06639,1.06661,1.06638,1.06649,518
2023-01-04 03:00:00,1.06649,1.06722,1.06609,1.06637,1046
2023-01-04 04:00:00,1.06637,1.06662,1.06601,1.06615,547
2023-01-04 05:00:00,1.06615,1.06656,1.0656,1.06634,2268
2023-01-04 06:00:00,1.06634,1.06727,1.06599,1.06667,2542
2023-01-04 07:00:00,1.06667,1.06731,1.06591,1.06697,718
2023-01-04 08:00:00,1.06697,1.06744,1.06635,1.0667,1265
2023-01-04 09:00:00,1.0667,1.06727,1.06644,1.0666,2578
2023-01-04 10:00:00,1.0666,1.06688,1.06604,1.06671,2806
2023-01-04 11:00:00,1.06671,1.06732,1.06634,1.06702,807
2023-01-04 12:00:00,1.06702,1.06713,1.06644,1.06687,2854
2023-01-04 13:00:00,1.06687,1.06759,1.06645,1.06681,1067
2023-01-04 14:00:00,1.06681,1.06729,1.06629,1.06646,1622
2023-01-04 15:00:00,1.06646,1.06702,1.06594,1.06607,2568
